Jennifer Azzi,1283.1,174
Moriah Jefferson,1274.0,175
Erin Perperoglou,1242.6,176
Astou Ndiaye-Diatta,1238.8,177
Nicky Anosike,1237.1,178
Amanda Zahui B.,1221.4,179
Kristen Rasmussen,1214.4,180
Marina Mabrey,1206.4,181
Rita Williams,1190.4,182
Korie Hlede,1183.7,183
Brandy Reed,1174.5,184
Jessica Davenport,1148.4,185
Edna Campbell,1143.1,186
Tonya Edwards,1125.0,187
Lisa Harrison,1122.0,188
Jordin Canada,1108.8,189
Azura Stevens,1089.0,190
Kelly Schumacher,1087.8,191
Myisha Hines-Allen,1062.5,192
Shay Murphy,1057.5,193
Lynetta Kizer,1044.0,194
Sabrina Ionescu,1035.0,195
Olympia Scott,1029.3,196
Tamicha Jackson,1026.8,197
Sandrine Gruda,1010.8,198
Katie Mattera,1005.0,199
Rachel Banham,988.0,200
Ukari Figgs,981.5,201
Theresa Plaisance,981.0,202
Amber Holt,966.0,203
Kelly Mazzante,940.0,204
Loree Moore,930.0,205
Carolyn Swords,925.0,206
Shanna Zolman,924.3,207
Shatori Walker-Kimbrough,918.0,208
Amanda Lassiter,912.0,209
Alex Montgomery,907.2,210
Bria Holmes,884.0,211
LaToya Sanders,883.5,212
Victoria Vivians,879.8,213
Jayne Appel-Marinelli,876.0,214
Gabby Williams,875.0,215
Tracy Reid,870.0,216
Kiah Stokes,868.6,217
Maria Stepanova,866.4,218
Alexis Hornbuckle,860.2,219
Monique Billings,849.4,220
Stephanie White,837.8,221
Vanessa Hayden,828.8,222
Deanna Jackson,823.6,223
Sue Wicks,819.0,224
Shalonda Enis,816.2,225
Jamierra Faulkner,812.2,226
Kayla Alexander,812.0,227
Brittany Boyd,806.0,228
La'Keshia Frett,804.0,229
Kelsey Griffin,803.6,230
Kaleena Mosqueda-Lewis,800.7,231
Christi Thomas,782.0,232
Natisha Hiedeman,781.0,233
Stephanie Talbot,777.6,234
Allison Hightower,762.5,235
Alicia Thompson,757.9,236
Crystal Dangerfield,756.5,237
Debbie Black,752.7,238
Brooke Wyckoff,750.2,239
Nia Coffey,744.6,240
Chelsea Newton,734.4,241
Sophie Cunningham,721.5,242
Kalana Greene,718.1,243
Semeka Randall,713.4,244
Ashley Battle,710.0,245
Jessie Hicks,709.8,246
Sidney Spencer,705.6,247
Shyra Ely-Gash,692.0,248
Devereaux Peters,688.0,249
LaTonya Johnson,680.2,250
Brianna Turner,672.6,251
Lexie Brown,664.2,252
Edwina Brown,663.0,253
Ezi Magbegor,663.0,253
Katie Lou Samuelson,656.5,255
Kristen Mann,650.0,256
Chennedy Carter,647.7,257
Jessica Moore,643.8,258
Tamara Moore,638.0,259
Morgan Tuck,637.5,260
Krystal Thomas,633.6,261
Kayla Pedersen,625.6,262
Astou Ndour,615.6,263
Amber Jacobs,611.6,264
Barbara Turner,611.1,265
Jackie Stiles,604.2,266
Mercedes Russell,598.0,267
Shey Peddy,597.8,268
Mery Andrade,588.0,269
Aari McDonald,587.4,270
Jordan Hooper,576.0,271
Tynesha Lewis,572.0,272
Sydney Colson,564.2,273
Shoni Schimmel,561.0,274
Kaela Davis,561.0,274
Kristin Haynie,560.0,276
Kara Wolters,559.0,277
Ashley Robinson,554.8,278
Jurgita Streimikyte,554.4,279
Rhyne Howard,550.8,280
Satou Sabally,550.0,281
Sharon Manning,535.8,282
Reshanda Gray,535.8,282
Imani McGee-Stafford,532.4,284
Suzie McConnell Serio,522.6,285
Sherill Baker,517.5,286
Katrina Colleton,509.6,287
Chantelle Anderson,508.4,288
Andrea Congreaves,504.0,289
Jeanette Pohlen-Mavunga,503.2,290
Adia Barnes,501.6,291
Vanessa Nygaard,492.2,292
Pamela McGee,490.2,293
Clarisse Machanguana,483.8,294
Sonja Henning,483.2,295
Alison Bales,475.6,296
Sydney Wiese,468.0,297
Bridget Carleton,460.6,298
Jennifer Rizzotti,458.8,299
Kayte Christensen,457.6,300
Tyasha Harris,457.6,300
Kim Williams,452.4,302
Kennedy Burke,450.8,303
Crystal Kelly,446.4,304
Quanitra Hollingsworth,446.4,304
Gwen Jackson,438.9,306
Michaela Onyenwere,435.6,307
Stacey Thomas,435.0,308
Chantel Tremitiere,434.3,309
Kisha Ford,434.0,310
Lindsay Allen,433.2,311
NaLyssa Smith,432.0,312
Pollyanna Johns Kimbrough,428.8,313
K.B. Sharp,427.2,314
Lynn Pride,425.6,315
Michele Van Gorp,422.4,316
Te'a Cooper,418.2,317
Tasha Humphrey,417.6,318
Doneeka Lewis,407.0,319
Niele Ivey,406.1,320
Tammy Jackson,400.4,321
Trisha Fallon,399.0,322
Lindsay Wisdom-Hylton,396.8,323
Kerri Gardin,384.0,324
Katie Gearlds,382.8,325
Ketia Swanier,382.5,326
Jazmine Jones,379.5,327
