Janell Burse,11.9,ELITE (Q1)
Dominique Canty,11.9,ELITE (Q1)
Ukari Figgs,11.8,ELITE (Q1)
Essence Carson,11.8,ELITE (Q1)
Jasmine Thomas,11.7,ELITE (Q1)
Cheyenne Parker,11.5,ELITE (Q1)
Courtney Williams,11.5,ELITE (Q1)
LaToya Sanders,11.4,ELITE (Q1)
Erin Perperoglou,11.3,ELITE (Q1)
Kelsey Plum,11.1,ELITE (Q1)
Brandy Reed,11.1,ELITE (Q1)
Odyssey Sims,11.0,ELITE (Q1)
Natasha Cloud,10.9,ELITE (Q1)
Damiris Dantas,10.9,ELITE (Q1)
Teaira McCowan,10.9,ELITE (Q1)
Tan White,10.9,ELITE (Q1)
Temeka Johnson,10.9,ELITE (Q1)
Jessica Breland,10.8,ELITE (Q1)
Debbie Black,10.6,ELITE (Q1)
Cathrine Kraayeveld,10.5,ELITE (Q1)
Nicole Ohlde,10.4,ELITE (Q1)
Danielle Adams,10.4,ELITE (Q1)
Arike Ogunbowale,10.4,ELITE (Q1)
Eva Nemcova,10.4,ELITE (Q1)
Elaine Powell,10.2,ELITE (Q1)
Jayne Appel-Marinelli,10.2,ELITE (Q1)
Lisa Harrison,10.0,ELITE (Q1)
Marissa Coleman,9.8,ELITE (Q1)
Brianna Turner,9.7,ELITE (Q1)
Shenise Johnson,9.7,ELITE (Q1)
Sugar Rodgers,9.7,ELITE (Q1)
Carolyn Swords,9.6,ELITE (Q1)
Svetlana Abrosimova,9.6,ELITE (Q1)
LaToya Thomas,9.4,ELITE (Q1)
Noelle Quinn,9.4,ELITE (Q1)
Coco Miller,9.0,ELITE (Q1)
Roneeka Hodges,8.9,ELITE (Q1)
Kara Braxton,8.6,ELITE (Q1)
Alex Bentley,8.5,ELITE (Q1)
Tianna Hawkins,8.5,ELITE (Q1)
Maria Stepanova,8.5,ELITE (Q1)
Isabelle Harrison,8.0,ELITE (Q1)
Jessica Davenport,8.0,ELITE (Q1)
Shay Murphy,7.9,ELITE (Q1)
Brittney Sykes,7.8,ELITE (Q1)
Charlotte Smith,7.8,ELITE (Q1)
Aerial Powers,7.7,ELITE (Q1)
Natisha Hiedeman,7.6,ELITE (Q1)
Azura Stevens,7.5,ELITE (Q1)
Kahleah Copper,7.4,ELITE (Q1)
Kelsey Griffin,7.3,ELITE (Q1)
Sue Wicks,7.2,ELITE (Q1)
Erin Thorn,7.0,ELITE (Q1)
Devereaux Peters,7.0,ELITE (Q1)
Ezi Magbegor,6.9,ELITE (Q1)
Rita Williams,6.9,ELITE (Q1)
Alison Bales,6.8,ELITE (Q1)
Tamera Young,6.7,ELITE (Q1)
Stephanie White,6.7,ELITE (Q1)
Mercedes Russell,6.6,ELITE (Q1)
Layshia Clarendon,6.6,ELITE (Q1)
Christi Thomas,6.5,ELITE (Q1)
Andrea Congreaves,6.5,Above Average (Q2)
Stacey Dales,6.3,Above Average (Q2)
Charde Houston,6.2,Above Average (Q2)
Myisha Hines-Allen,6.2,Above Average (Q2)
Shatori Walker-Kimbrough,6.0,Above Average (Q2)
Tayler Hill,6.0,Above Average (Q2)
Adrian Williams-Strong,6.0,Above Average (Q2)
Sabrina Ionescu,5.9,Above Average (Q2)
Shalonda Enis,5.8,Above Average (Q2)
Korie Hlede,5.8,Above Average (Q2)
Helen Darling,5.7,Above Average (Q2)
Moriah Jefferson,5.7,Above Average (Q2)
Hamchetou Maiga-Ba,5.7,Above Average (Q2)
Kelly Schumacher,5.7,Above Average (Q2)
Tiffany Jackson-Jones,5.6,Above Average (Q2)
Sidney Spencer,5.6,Above Average (Q2)
Kalana Greene,5.6,Above Average (Q2)
Monique Billings,5.6,Above Average (Q2)
Kelsey Mitchell,5.4,Above Average (Q2)
Stephanie Talbot,5.4,Above Average (Q2)
Shey Peddy,5.3,Above Average (Q2)
