45,9,2021,Minnesota Lynx,Rennia Davis,NULL,Tennessee,1,8,-0.1,-0.134,5.4,1.3,1.0,0.1
46,10,2021,Los Angeles Sparks,Stephanie Watts,NULL,UNC,1,6,-0.1,-0.061,14.0,2.5,3.7,0.5
47,11,2021,Seattle Storm,Aaliyah Wilson,NULL,Texas A&M,1,14,-0.5,-0.165,8.5,1.1,0.9,0.6
48,12,2021,Las Vegas Aces,Iliana Rupert,France,NULL,1,17,0.5,0.096,13.1,3.8,2.3,0.9
49,13,2021,Dallas Wings,Dana Evans,NULL,Louisville,2,62,0.7,0.045,9.7,3.8,0.6,1.1
50,14,2021,Las Vegas Aces,Destiny Slocum,NULL,Arkansas,2,24,0.1,0.018,7.3,1.5,1.0,0.7
51,15,2021,Atlanta Dream,Raquel Carrera Quintana,Spain,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
52,16,2021,Chicago Sky,Natasha Mack,NULL,Oklahoma State,1,4,0.0,0.065,4.5,1.5,1.0,0.0
53,17,2021,New York Liberty,DiDi Richards,NULL,Baylor,2,45,0.1,0.009,11.1,2.3,1.3,1.0
54,18,2021,Seattle Storm,Kiana Williams,NULL,Stanford,2,14,-0.1,-0.092,4.6,0.6,0.4,0.5
55,19,2021,Indiana Fever,Unique Thompson,NULL,Auburn,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
56,20,2021,Connecticut Sun,DiJonai Carrington,NULL,Baylor,2,60,1.3,0.059,14.2,5.2,2.6,0.8
57,21,2021,Connecticut Sun,Micaela Kelly,NULL,Central Michigan University,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
58,22,2021,Los Angeles Sparks,Arella Guirantes,NULL,Rutgers University,1,25,-0.4,-0.051,11.6,3.2,1.3,0.6
59,23,2021,Seattle Storm,N'dea Jones,NULL,Texas A&M,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
60,24,2021,Indiana Fever,Trinity Baptiste,NULL,Arizona,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
61,25,2021,New York Liberty,Valerie Higgins,NULL,University of the Pacific,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
62,26,2021,Indiana Fever,Chelsey Perry,NULL,University of Tennessee at Martin,1,6,-0.1,-0.115,6.7,2.2,1.0,0.3
63,27,2021,Atlanta Dream,Lindsey Pulliam,NULL,Northwestern,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
64,28,2021,Los Angeles Sparks,Ivana Raca,NULL,Wake Forest,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
65,29,2021,New York Liberty,Marine Fauthoux,France,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
66,30,2021,Connecticut Sun,Aleah Goodman,NULL,Oregon State,1,1,0.0,0.206,3.0,0.0,0.0,1.0
67,31,2021,Indiana Fever,Florencia Chagas,Argentina,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
68,32,2021,Phoenix Mercury,Ciera Johnson,NULL,Texas A&M,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
69,33,2021,Indiana Fever,Maya Caldwell,NULL,Georgia,1,9,0.7,0.138,23.8,10.9,2.4,2.2
70,34,2021,Los Angeles Sparks,Aina Ayuso,Spain,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
71,35,2021,Seattle Storm,Natalie Kucowski,NULL,Lafayette College,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
72,36,2021,Las Vegas Aces,Kionna Jeter,NULL,Towson University,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
73,1,2020,New York Liberty,Sabrina Ionescu,NULL,Oregon,3,69,5.9,0.110,31.0,15.0,6.3,6.1
74,2,2020,Dallas Wings,Satou Sabally,NULL,Oregon,3,44,2.4,0.086,25.3,12.5,6.3,2.5
75,3,2020,Indiana Fever,Lauren Cox,NULL,Baylor,2,40,0.6,0.053,12.2,3.0,3.1,0.8
76,4,2020,Atlanta Dream,Chennedy Carter,NULL,Texas A&M,3,51,0.9,0.035,21.2,12.7,1.9,2.7
77,5,2020,Dallas Wings,Bella Alarie,NULL,Princeton,2,53,1.4,0.076,13.5,2.6,3.1,0.5
78,6,2020,Minnesota Lynx,Mikiah Herbert Harrigan,NULL,South Carolina,2,22,0.2,0.029,10.7,3.6,2.2,0.3
79,7,2020,Dallas Wings,Tyasha Harris,NULL,South Carolina,3,88,1.6,0.044,16.9,5.2,1.2,2.7
80,8,2020,Chicago Sky,Ruthy Hebard,NULL,Oregon,3,76,3.7,0.140,13.9,4.7,3.4,0.6
81,9,2020,New York Liberty,Megan Walker,NULL,UConn,3,59,-1.2,-0.066,12.6,3.9,1.3,0.6
82,10,2020,Phoenix Mercury,Jocelyn Willoughby,NULL,Virginia,2,33,-0.1,-0.006,15.3,4.8,2.2,0.7
83,11,2020,Seattle Storm,Kitija Laksa,Latvia,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
84,12,2020,New York Liberty,Jazmine Jones,NULL,Louisville,3,55,-0.3,-0.015,16.8,6.9,2.7,1.4
85,13,2020,New York Liberty,Kylee Shook,NULL,Louisville,2,50,0.4,0.020,17.1,5.0,3.5,1.0
86,14,2020,Indiana Fever,Kathleen Doyle,NULL,Iowa,1,18,-0.7,-0.189,8.6,1.5,0.8,1.1
87,15,2020,New York Liberty,Leaonna Odom,NULL,Duke,2,40,1.1,0.063,16.8,4.4,1.8,0.6
88,16,2020,Minnesota Lynx,Crystal Dangerfield,NULL,UConn,3,85,3.9,0.079,23.1,8.9,2.0,2.9
89,17,2020,Atlanta Dream,Brittany Brewer,NULL,Texas Tech,1,5,0.1,0.065,6.6,0.8,1.0,0.0
90,18,2020,Phoenix Mercury,Te'a Cooper,NULL,Baylor,2,51,0.3,0.012,20.1,8.2,1.5,1.6
91,19,2020,Seattle Storm,Joyner Holmes,NULL,Texas,3,50,-0.5,-0.044,8.5,2.4,1.8,0.6
92,20,2020,Los Angeles Sparks,Beatrice Mompremier,NULL,Miami (FL),3,74,1.2,0.074,8.6,2.0,2.8,0.2
93,21,2020,Dallas Wings,Luisa Geiselsoder,Germany,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
