Sandrine Gruda,1010.8
Katie Mattera,1005.0
Rachel Banham,988.0
Ukari Figgs,981.5
Theresa Plaisance,981.0
Amber Holt,966.0
Kelly Mazzante,940.0
Loree Moore,930.0
Carolyn Swords,925.0
Shanna Zolman,924.3
Shatori Walker-Kimbrough,918.0
Amanda Lassiter,912.0
Alex Montgomery,907.2
Bria Holmes,884.0
LaToya Sanders,883.5
Victoria Vivians,879.8
Jayne Appel-Marinelli,876.0
Gabby Williams,875.0
Tracy Reid,870.0
Kiah Stokes,868.6
Maria Stepanova,866.4
Alexis Hornbuckle,860.2
Monique Billings,849.4
Stephanie White,837.8
Vanessa Hayden,828.8
Deanna Jackson,823.6
Sue Wicks,819.0
Shalonda Enis,816.2
Jamierra Faulkner,812.2
Kayla Alexander,812.0
Brittany Boyd,806.0
La'Keshia Frett,804.0
Kelsey Griffin,803.6
Kaleena Mosqueda-Lewis,800.7
Christi Thomas,782.0
Natisha Hiedeman,781.0
Stephanie Talbot,777.6
Allison Hightower,762.5
Alicia Thompson,757.9
Crystal Dangerfield,756.5
Debbie Black,752.7
Brooke Wyckoff,750.2
Nia Coffey,744.6
Chelsea Newton,734.4
Sophie Cunningham,721.5
Kalana Greene,718.1
Semeka Randall,713.4
Ashley Battle,710.0
Jessie Hicks,709.8
Sidney Spencer,705.6
Shyra Ely-Gash,692.0
Devereaux Peters,688.0
LaTonya Johnson,680.2
Brianna Turner,672.6
Lexie Brown,664.2
Edwina Brown,663.0
Ezi Magbegor,663.0
Katie Lou Samuelson,656.5
Kristen Mann,650.0
Chennedy Carter,647.7
Jessica Moore,643.8
Tamara Moore,638.0
Morgan Tuck,637.5
Krystal Thomas,633.6
Kayla Pedersen,625.6
Astou Ndour,615.6
Amber Jacobs,611.6
Barbara Turner,611.1
Jackie Stiles,604.2
Mercedes Russell,598.0
Shey Peddy,597.8
Mery Andrade,588.0
Aari McDonald,587.4
Jordan Hooper,576.0
Tynesha Lewis,572.0
Sydney Colson,564.2
Shoni Schimmel,561.0
Kaela Davis,561.0
Kristin Haynie,560.0
Kara Wolters,559.0
Ashley Robinson,554.8
Jurgita Streimikyte,554.4
Rhyne Howard,550.8
Satou Sabally,550.0
Reshanda Gray,535.8
Sharon Manning,535.8
Imani McGee-Stafford,532.4
Suzie McConnell Serio,522.6
Sherill Baker,517.5
Katrina Colleton,509.6
Chantelle Anderson,508.4
Andrea Congreaves,504.0
Jeanette Pohlen-Mavunga,503.2
Adia Barnes,501.6
