South Dakota State,2,NULL,NULL,NULL,132
San Jose State,1,NULL,NULL,NULL,132
Seton Hall,1,NULL,NULL,NULL,132
Saint Mary's,2,NULL,NULL,NULL,132
Saint Francis University,1,NULL,NULL,NULL,132
Towson University,1,NULL,NULL,NULL,132
Texas A&M University-Commerce,1,NULL,NULL,NULL,132
Tulsa,1,NULL,NULL,NULL,132
UC-Davis,1,NULL,NULL,NULL,132
UMass,1,NULL,NULL,NULL,132
IUPUI,1,NULL,NULL,NULL,132
Jackson State University,1,NULL,NULL,NULL,132
Holy Cross,1,NULL,NULL,NULL,132
Lafayette College,1,NULL,NULL,NULL,132
Life University,1,NULL,NULL,NULL,132
Franklin Pierce University,1,NULL,NULL,NULL,132
George Mason,1,NULL,NULL,NULL,132
Clemson,3,NULL,NULL,NULL,132
Drake University,1,NULL,NULL,NULL,132
Austin Peay State University,1,NULL,NULL,NULL,132
Ball State University,1,NULL,NULL,NULL,132
Bucknell,1,NULL,NULL,NULL,132
Buffalo,1,NULL,NULL,NULL,132
Chattanooga,1,NULL,NULL,NULL,132
Union University,1,NULL,NULL,NULL,132
University of Hartford,1,NULL,NULL,NULL,132
University of the Pacific,1,NULL,NULL,NULL,132
University of North Florida,1,NULL,NULL,NULL,132
Villanova,1,NULL,NULL,NULL,132
Washington State,1,NULL,NULL,NULL,132
Washburn University,1,NULL,NULL,NULL,132
